"<a href=""%1"" target=""_blank"">Click here</a> to apply for an account.","<a href=""%1"" target=""_blank"">Klicken Sie hier</a>, um ein Konto zu beantragen."
"<a href=""http://crontab.guru/"" target=""_blank"">Need help?</a>","<a href=""http://crontab.guru/"" target=""_blank"">Benötigen Sie Hilfe?</a>"
"<a href=""https://support.direct.ingenico.com/documentation/api/webhooks"" target=""_blank"">Need help?</a>","<a href=""https://support.direct.ingenico.com/documentation/api/webhooks"" target=""_blank"">Benötigen Sie Hilfe?</a>"
"<b>Online payments solutions for every type of business.</b><br />Regardless of the size, markets and scope of your business, we partner with you for growth.","<b>Onlinezahlungslösungen für jede Art von Unternehmen.</b><br />Unabhängig von der Größe, den Märkten und dem Umfang Ihres Unternehmens arbeiten wir mit Ihnen an Ihrem Wachstum."
"Abandoned Orders","Abgebrochene Aufträge"
"All Allowed Countries","Alle zugelassenen Länder"
"All Allowed Currencies","Alle zulässigen Währungen"
"All Allowed Customer Groups","Alle zulässigen Kundengruppen"
"Allow Receiving Webhooks","Webhook-Empfang zulassen"
"American Express","American Express"
"and perform the following steps:","und führen Sie die folgenden Schritte aus:"
"API Key","API-Schlüssel"
"API Secret","API-Geheimnis"
"Attention","Achtung"
"Authorization Mode","Autorisierungsmodus"
"Authorize & Capture","Autorisieren und erfassen"
"Authorize","Autorisieren"
"Auto cancellation of orders that are stuck in the payment review status after the specified time. The time is in minutes.","Automatische Stornierung von Aufträgen, die nach der angegebenen Zeit im Status der Zahlungsprüfung stecken bleiben. Die Zeit wird in Minuten angegeben."
"Available Credit Card Types","Verfügbare Kreditkartentypen"
"Carte Bancaire","Carte Bancaire"
"Click on ""GENERATE WEBHOOKS API KEY""","Klicken Sie auf ""WEBHOOKS-API-SCHLÜSSEL GENERIEREN""."
"Click on ""SAVE"" to confirm your settings","Klicken Sie auf ""SPEICHERN"", um Ihre Einstellungen zu bestätigen."
"Code eci: %1","eci-Code: %1"
"Connection failed! Test again?","Verbindung fehlgeschlagen! Nochmal testen?"
"Connection","Verbindung"
