"<a href=""%1"" target=""_blank"">Click here</a> to apply for an account.","<a href=""%1"" target=""_blank"">Fare clic qui</a> per richiedere un account."
"<a href=""http://crontab.guru/"" target=""_blank"">Need help?</a>","<a href=""http://crontab.guru/"" target=""_blank"">Serve aiuto?</a>"
"<a href=""https://support.direct.ingenico.com/documentation/api/webhooks"" target=""_blank"">Need help?</a>","<a href=""https://support.direct.ingenico.com/documentation/api/webhooks"" target=""_blank"">Serve aiuto?</a>"
"<b>Online payments solutions for every type of business.</b><br />Regardless of the size, markets and scope of your business, we partner with you for growth.","<b>Soluzioni di pagamento online per ogni tipo di attività.</b><br />Indipendentemente dalla dimensione, dai mercati e dall'estensione della tua attività, siamo al tuo fianco per farti crescere."
"Abandoned Orders","Ordini abbandonati"
"All Allowed Countries","Tutti i Paesi consentiti"
"All Allowed Currencies","Tutte le valute consentite"
"All Allowed Customer Groups","Tutti i gruppi di clienti consentiti"
"Allow Receiving Webhooks","Consenti la ricezione di webhook"
"American Express","American Express"
"and perform the following steps:","e procedere come segue:"
"API Key","API Key (Chiave API)"
"API Secret","API Secret (Chiave segreta API)"
"Attention","Attenzione"
"Authorization Mode","Modalità di autorizzazione"
"Authorize & Capture","Autorizzare e acquisire"
"Authorize","Autorizzare"
"Auto cancellation of orders that are stuck in the payment review status after the specified time. The time is in minutes.","Storno automatico degli ordini bloccati nello stato di verifica del pagamento dopo il tempo specificato. Il tempo è espresso in minuti."
"Available Credit Card Types","Tipi di carte di credito disponibili"
"Carte Bancaire","Carte Bancaire (CB)"
"Click on ""GENERATE WEBHOOKS API KEY""","Fare clic su ""GENERA CHIAVE API WEBHOOK"""
"Click on ""SAVE"" to confirm your settings","Fare clic su ""SALVA"" per confermare le impostazioni"
"Code eci: %1","Codice eci: %1"
"Connection failed! Test again?","Connessione non riuscita! Provare di nuovo?"
"Connection","Connessione"
"Copy & Paste the WebhooksKeySecret immediately","Copiare e incollare subito la WebhooksKeySecret"
"Credit Cards (iFrame)","Carta di credito"
"Current extension version is %1.","La versione corrente dell'estensione è %1."
"Custom Return URL","URL restituito personalizzato"
"Debug","Debug"
"Debug","Debug"
"Default Order Status","Stato dell'ordine predefinito"
